title,url,is_daily_report,paragraph_index,paragraph
Daily report for 11 November 2024,https://enb.iisd.org/baku-un-climate-change-conference-cop29-daily-report-11nov2024,True,0,"The 29th session of the Conference of the Parties (COP 29) to the UN Framework Convention on Climate Change (UNFCCC) ground to halt a mere hour after its launch, with the opening plenary suspended to allow for additional consultations on the meeting agendas. Resumption of the plenary was pushed back several times, leaving delegates idle for most of the day. Eventually, all agendas were adopted and parties even adopted a decision on the Paris Agreement’s Article 6.4 Mechanism."
Daily report for 11 November 2024,https://enb.iisd.org/baku-un-climate-change-conference-cop29-daily-report-11nov2024,True,1,Welcome Remarks
Daily report for 11 November 2024,https://enb.iisd.org/baku-un-climate-change-conference-cop29-daily-report-11nov2024,True,2,"COP 28 President Sultan Al Jaber opened the meeting, emphasizing the need to “unite, act, and deliver.” He called on all parties who can, to contribute to the capitalization of the Loss and Damage Fund, and urged delivering a robust new collective quantified goal (NCQG) on climate finance."
Daily report for 11 November 2024,https://enb.iisd.org/baku-un-climate-change-conference-cop29-daily-report-11nov2024,True,3,"COP 29 President Mukhtar Babayev emphasized that COP 29 is an “unmissable moment” and urged delivering a fair and ambitious NCQG, which sends a strong signal to financial markets. He outlined how operationalizing carbon markets under Paris Agreement Article 6 can help reduce the costs of implementing nationally determined contributions (NDCs). He further underscored that the next round of NDCs should be informed by the outcome of the first Global Stocktake (GST), including with regard to transitioning away from fossil fuels in a just and orderly manner, taking into account national circumstances, pathways, and approaches. “COP 29 cannot and will not be silent on mitigation,” Babayev remarked, pointing to Action Agenda calls on energy grids and methane emissions from organic waste. He additionally recalled that parties are expected to submit their first biennial transparency reports (BTRs) by the end of 2024 and have national adaptation plans in place by 2025."
Daily report for 11 November 2024,https://enb.iisd.org/baku-un-climate-change-conference-cop29-daily-report-11nov2024,True,4,"UNFCCC Executive Secretary Simon Stiell stressed that “climate finance is not charity,” but is in the self-interest of all parties: “If two thirds of the world’s nations cannot afford to cut emissions, every nation pays the price.” Acknowledging that a single COP cannot deliver the full transformation that is needed, he emphasized the need to accelerate the shift to clean energy and climate resilience. He noted the importance of measuring progress on adaptation and underscored that BTRs will help to avoid “making decisions in the dark.” "
Daily report for 11 November 2024,https://enb.iisd.org/baku-un-climate-change-conference-cop29-daily-report-11nov2024,True,5,Procedural Matters
Daily report for 11 November 2024,https://enb.iisd.org/baku-un-climate-change-conference-cop29-daily-report-11nov2024,True,6,"Rules of Procedure: Parties agreed to apply the draft rules of procedure (FCCC/CP/1996/2), except draft rule 42 on voting. The COP 29 Presidency will hold consultations."
Daily report for 11 November 2024,https://enb.iisd.org/baku-un-climate-change-conference-cop29-daily-report-11nov2024,True,7,"Adoption of the Agendas: President Babayev reported on the pre-sessional consultations that stretched into the early morning hours of the opening day and continued for more than seven hours after the meeting’s opening ceremony. He proposed to adopt the supplementary provisional agendas without the agenda items suggested for inclusion by parties, with the understanding that the Presidency would convene consultations on:"
Daily report for 11 November 2024,https://enb.iisd.org/baku-un-climate-change-conference-cop29-daily-report-11nov2024,True,8,"mountains, with a high-level event to be organized by the Presidency at COP 29;"
Daily report for 11 November 2024,https://enb.iisd.org/baku-un-climate-change-conference-cop29-daily-report-11nov2024,True,9,the special needs and circumstances of Africa;
Daily report for 11 November 2024,https://enb.iisd.org/baku-un-climate-change-conference-cop29-daily-report-11nov2024,True,10,the seventh review of the Financial Mechanism; and
Daily report for 11 November 2024,https://enb.iisd.org/baku-un-climate-change-conference-cop29-daily-report-11nov2024,True,11,"climate-related trade-restrictive unilateral measures, in coordination with the Chairs of the Subsidiary Bodies (SBs)."
Daily report for 11 November 2024,https://enb.iisd.org/baku-un-climate-change-conference-cop29-daily-report-11nov2024,True,12,"With regard to the COP 29 agenda, President Babayev further noted that the Poznan strategic programme on technology transfer would be discussed under the SBI and the Presidency will undertake consultations on any outstanding matters in the second week. The proposals for amendments to the Convention and on the second review of the adequacy of Convention Article 4.2(a–b) will be held in abeyance."
Daily report for 11 November 2024,https://enb.iisd.org/baku-un-climate-change-conference-cop29-daily-report-11nov2024,True,13,"With regard to the agenda of the sixth COP serving as the meeting of the Parties to the Paris Agreement (CMA 6), President Babayev proposed to retain the item on the dialogue on GST implementation under matters relating to finance, while adding a footnote indicating that the placement of this sub-item on the agenda does not prejudge the scope of consultations on the matter under the SBI. The EU, ALLIANCE OF SMALL ISLAND STATES (AOSIS), UMBRELLA GROUP, ENVIRONMENTAL INTEGRITY GROUP (EIG), LEAST DEVELOPED COUNTRIES (LDCs), and INDEPENDENT ALLIANCE OF LATIN AMERICA AND THE CARIBBEAN (AILAC), accepted the proposal, but expressed their misgivings about attempts to limit the focus of the dialogue on GST implementation to finance. Most parties underlined that all mandates of the GST decision must be carried forward and reiterated their understanding that adequate space will be provided during CMA 6 for these discussions. The LIKE MINDED DEVELOPING COUNTRIES (LMDCs), AFRICAN GROUP, and ARAB GROUP underlined that the focus of the dialogue on GST implementation is finance, and lamented efforts by some parties to renegotiate agreed outcomes. The LMDCs stressed the dialogue must focus on financial support from developed to developing countries, and on tracking delivery of the NCQG."
Daily report for 11 November 2024,https://enb.iisd.org/baku-un-climate-change-conference-cop29-daily-report-11nov2024,True,14,"BRAZIL, SOUTH AFRICA, INDIA, and CHINA (BASIC) expressed their readiness to work with the Presidency to achieve a collaborative and cooperative outcome. The AFRICAN GROUP called for the SBs to consider the work of the Advisory Board of the Santiago Network, highlighting governance concerns."
